product_id,product_name,category,brand,cost_price
1,iPhone 15 128GB,Smartphones,Apple,2800.0
2,iPhone 15 Pro 256GB,Smartphones,Apple,3800.0
3,Samsung Galaxy S24 256GB,Smartphones,Samsung,2200.0
4,Samsung Galaxy A55,Smartphones,Samsung,1100.0
5,Google Pixel 8,Smartphones,Google,1900.0
6,MacBook Air M2,Laptops,Apple,3900.0
7,MacBook Pro M3,Laptops,Apple,6200.0
8,Dell XPS 15,Laptops,Dell,4100.0
9,HP Spectre x360,Laptops,HP,3500.0
10,Lenovo ThinkPad X1 Carbon,Laptops,Lenovo,4300.0
11,Sony WH-1000XM5 Headphones,Audio,Sony,900.0
12,Apple AirPods Pro 2nd Gen,Audio,Apple,700.0
13,Bose QuietComfort 45,Audio,Bose,850.0
14,JBL Flip 6 Speaker,Audio,JBL,250.0
15,Sony SRS-XB43 Speaker,Audio,Sony,350.0
16,Apple Watch Series 9 GPS,Wearables,Apple,950.0
17,Samsung Galaxy Watch 6,Wearables,Samsung,750.0
18,Garmin Fenix 7,Wearables,Garmin,1800.0
19,Fitbit Charge 6,Wearables,Fitbit,450.0
20,Huawei Band 8,Wearables,Huawei,180.0
21,iPad Air M1,Tablets,Apple,2100.0
22,iPad Pro M2 11-inch,Tablets,Apple,3200.0
23,Samsung Galaxy Tab S9,Tablets,Samsung,2400.0
24,Lenovo Tab P12,Tablets,Lenovo,900.0
25,Apple MagSafe Charger,Accessories,Apple,95.0
26,Samsung 45W Fast Charger,Accessories,Samsung,70.0
27,Anker PowerBank 20000mAh,Accessories,Anker,120.0
28,Logitech MX Master 3S Mouse,Accessories,Logitech,280.0
29,Belkin Screen Protector Pack,Accessories,Belkin,40.0
30,Apple USB-C to Lightning Cable,Accessories,Apple,60.0
